date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:33	9381/9381	---M-Z	200	added ('OK')	image/png	etag:%22eb1fa6d08b5a67dade32f335cdeb5098%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/upbit-02d02a9d6019041907f5f68509569f1a.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/upbit-02d02a9d6019041907f5f68509569f1a.png	(from https://axieinfinity.com/)
01:02:34	28573/28573	---M-Z	200	added ('OK')	image/png	etag:%2275964441096a9b31143dac8f8a5816a0%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/axie-b619af9f55752f686b0d8f152c979adf.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/axie-b619af9f55752f686b0d8f152c979adf.png	(from https://axieinfinity.com/)
01:02:34	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:35%20GMT	https://axieinfinity.com/terms	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/terms	(from https://axieinfinity.com/)
01:02:34	57920/57920	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/terms/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/terms/index.html	(from https://axieinfinity.com/)
01:02:35	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:36%20GMT	https://axieinfinity.com/privacy-policy	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/privacy-policy.36.delayed	(from https://axieinfinity.com/)
01:02:35	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:36%20GMT	https://axieinfinity.com/code-of-conduct	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/code-of-conduct	(from https://axieinfinity.com/)
01:02:36	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:37%20GMT	https://axieinfinity.com/builders-terms	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/builders-terms	(from https://axieinfinity.com/)
01:02:36	29215/29215	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/privacy-policy/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/privacy-policy/index.html	(from https://axieinfinity.com/)
01:02:36	26009/26009	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/code-of-conduct/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/code-of-conduct/index.html	(from https://axieinfinity.com/)
01:02:36	72692/72692	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/builders-terms/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/builders-terms/index.html	(from https://axieinfinity.com/)
01:02:36	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:37%20GMT	https://axieinfinity.com/faq	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/faq.39.delayed	(from https://axieinfinity.com/)
01:02:37	49354/49354	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/faq/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/faq/index.html	(from https://axieinfinity.com/)
